词汇,频次
predictive,265
policing,259
data,229
crime,202
police,142
algorithm,140
covered,139
deployer,118
developer,102
information,101
use,97
enforcement,82
law,81
which,76
how,73
act,69
more,66
under,65
individual,65
officers,64
new,63
risk,61
section,60
have,59
evaluation,59
technology,57
district,55
digital,54
c,54
used,54
